"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","yr","mo"
"Recognizing privilege and dismantling systemic racism is on all of us. #DemTownHall
https://t.co/6X1U5qqrql",FALSE,1025,NA,2016-02-24 03:18:35,FALSE,NA,"702331763746435073",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",510,FALSE,FALSE,NA,NA,2016,2
"""I'm most concerned about the kids who are left out and left behind."" #DemTownHall",FALSE,996,NA,2016-02-24 02:49:11,FALSE,NA,"702324364386107392",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",401,FALSE,FALSE,NA,NA,2016,2
"We will never let Republicans privatize Social Security. We will protect it and expand it. #DemTownHall",FALSE,1114,NA,2016-02-24 02:46:50,FALSE,NA,"702323771076640768",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",455,FALSE,FALSE,NA,NA,2016,2
"People who are working hard should get the respect, dignity, and income they deserve. Middle-class families need a raise. #DemTownHall",FALSE,1463,NA,2016-02-24 02:35:23,FALSE,NA,"702320891435356160",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",598,FALSE,FALSE,NA,NA,2016,2
"We need to make college affordable. We also need to lift the enormous burden of student debt that millions carry right now. #DemTownHall",FALSE,1624,NA,2016-02-24 02:31:12,FALSE,NA,"702319836903428097",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",709,FALSE,FALSE,NA,NA,2016,2
"Systemic racism is found in our criminal justice system, housing, education—but it's also cultural. We have to combat it all. #DemTownHall",FALSE,1464,NA,2016-02-24 02:17:44,FALSE,NA,"702316449956806656",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",799,FALSE,FALSE,NA,NA,2016,2
"There is one candidate, in either party, who's prepared to keep us safe as commander in chief. She's on stage at the #DemTownHall right now.",FALSE,1333,NA,2016-02-24 02:13:44,FALSE,NA,"702315442526887936",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",463,FALSE,FALSE,NA,NA,2016,2
"A chilling explainer from @voxdotcom on the state of gun violence in America. https://t.co/rA3zGuqEpH",FALSE,881,NA,2016-02-24 01:25:09,FALSE,NA,"702303217510694913",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",602,FALSE,FALSE,NA,NA,2016,2
"“If there’s another child out there that can be saved, I will do this for the rest of my life.” -Gwen Carr https://t.co/Ex3PbltSYF",FALSE,997,NA,2016-02-23 23:24:09,FALSE,NA,"702272764871368704",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",443,FALSE,FALSE,NA,NA,2016,2
"If this team wins the White House, Virginia is invited to come by and dance any time. https://t.co/K0YclxQQbv https://t.co/QPdB1NjE21",FALSE,2672,NA,2016-02-23 22:05:16,FALSE,NA,"702252915080216576",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",838,FALSE,FALSE,NA,NA,2016,2
"Just a reminder.  https://t.co/w7GAQmz1vv",FALSE,1093,NA,2016-02-23 20:53:36,FALSE,NA,"702234878931292160",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",422,FALSE,FALSE,NA,NA,2016,2
"Racial inequality isn’t just a symptom of economic inequality. https://t.co/4FOHoZpRQI",FALSE,1164,NA,2016-02-23 20:37:04,FALSE,NA,"702230719314190337",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",818,FALSE,FALSE,NA,NA,2016,2
"It’s time to close this dangerous loophole in our gun laws. https://t.co/re1U5IXQ0J",FALSE,1010,NA,2016-02-23 19:08:29,FALSE,NA,"702208425753759744",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",456,FALSE,FALSE,NA,NA,2016,2
"Wall Street can never be allowed to wreck Main Street again. No bank can be too big to fail and no executive can be too powerful to jail.",FALSE,1954,NA,2016-02-23 18:12:36,FALSE,NA,"702194363187773440",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",788,FALSE,FALSE,NA,NA,2016,2
"El país necesita un líder que mantenga a nuestras familias seguras.",FALSE,712,NA,2016-02-23 17:04:30,FALSE,NA,"702177224389173249",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",296,FALSE,FALSE,NA,NA,2016,2
"We shouldn't force families to choose between breaking apart or living in fear. https://t.co/jZQx2toJot",FALSE,933,NA,2016-02-23 16:00:40,FALSE,NA,"702161159328284673",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",444,FALSE,FALSE,NA,NA,2016,2
"Hillary and Dr. Glenda Glover of @TSUedu: HBCUs are fundamental to the basic bargain of America. https://t.co/euMOnSfffy",FALSE,514,NA,2016-02-23 14:03:45,FALSE,NA,"702131737300770817",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",248,FALSE,FALSE,NA,NA,2016,2
"In Ohio and across the country, Republicans are once again attacking women's health. We won't stand for this. https://t.co/X2w3ul2now",FALSE,2045,NA,2016-02-23 01:32:16,FALSE,NA,"701942619228737537",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1144,FALSE,FALSE,NA,NA,2016,2
