"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","yr","mo"
".@HillaryClinton believes Republicans should set the standard for disclosure of her Wall Street speeches. Aren’t we better than that?",FALSE,3151,NA,2016-02-24 02:15:02,FALSE,NA,"702315767639863297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",1734,FALSE,FALSE,NA,NA,2016,2
"¿Qué tipo de país quieres tener?  ¿Estás listo para luchar por él? #DemTownHall",FALSE,924,NA,2016-02-24 01:54:02,FALSE,NA,"702310485241131008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",446,FALSE,FALSE,NA,NA,2016,2
"Taking on the tobacco industry is something I would enjoy doing very, very much. #DemTownHall",FALSE,2199,NA,2016-02-24 01:52:34,FALSE,NA,"702310114875715584",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",669,FALSE,FALSE,NA,NA,2016,2
"This campaign is relying on small campaign donors, over 1,000,000 of them, 27 bucks a piece. That's who I'm indebted to. Not Wall Street.",FALSE,2409,NA,2016-02-24 01:49:29,FALSE,NA,"702309341638950913",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1019,FALSE,FALSE,NA,NA,2016,2
"Instead of cutting programs for seniors, children and veterans, we are gonna demand large corporations and the wealthy pay their fair share.",FALSE,1479,"BernieSanders",2016-02-24 01:33:30,FALSE,"702303813588267009","702305319137861632","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",639,FALSE,FALSE,NA,NA,2016,2
"It is absurd that the top one-tenth of one percent own almost as much wealth as the bottom 90 percent. #DemTownHall",FALSE,2117,NA,2016-02-24 01:27:31,FALSE,NA,"702303813588267009",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",934,FALSE,FALSE,NA,NA,2016,2
"""My father is from Poland. No one has asked for my birth certificate. Maybe it has to do with the color of my skin."" #DemTownHall",FALSE,4691,NA,2016-02-24 01:24:58,FALSE,NA,"702303168932114433",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",2177,FALSE,FALSE,NA,NA,2016,2
"Criminal justice reform must be the civil rights issue of the 21st century and the first piece has to be police reform. #DemTownHall",FALSE,1478,NA,2016-02-24 01:18:17,FALSE,NA,"702301489352413184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",707,FALSE,FALSE,NA,NA,2016,2
"This campaign is based upon a very simple principle: Real change never comes from the top on down. It always comes from the bottom up.",FALSE,2643,NA,2016-02-24 00:32:03,FALSE,NA,"702289854361513985",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1227,FALSE,FALSE,NA,NA,2016,2
"Our health care plan is the only plan that would provide care for all Americans, regardless of income.
https://t.co/BaJYpJGtYe",FALSE,1593,NA,2016-02-23 23:17:01,FALSE,NA,"702270971646861313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",796,FALSE,FALSE,NA,NA,2016,2
"We are accomplishing what the political establishment said was impossible. Don't underestimate us. #FeelTheBern",FALSE,2757,NA,2016-02-23 21:46:04,FALSE,NA,"702248082864365568",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1251,FALSE,FALSE,NA,NA,2016,2
"Join Jane Sanders in Columbia, South Carolina for a conversation on education today. 
https://t.co/CLB9zWvcCK",FALSE,901,NA,2016-02-23 20:47:22,FALSE,NA,"702233308986548224",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",354,FALSE,FALSE,NA,NA,2016,2
"We can live in a nation where every person, no matter their sexual orientation, realizes the promise of equality.
https://t.co/MjCXeFSkTa",FALSE,2329,NA,2016-02-23 20:18:04,FALSE,NA,"702225934254931968",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1136,FALSE,FALSE,NA,NA,2016,2
"""When Bernie gets to the White House, he will do the right thing. No flipping, no flopping."" - @SpikeLee 
https://t.co/jB15jjCAiT",FALSE,2292,NA,2016-02-23 18:52:44,FALSE,NA,"702204461318610949",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1266,FALSE,FALSE,NA,NA,2016,2
"Democratic socialism means that going to a public university tuition free would be a right in this country. https://t.co/LimwBugl03",FALSE,4827,NA,2016-02-23 17:56:13,FALSE,NA,"702190238735724544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BernieSanders",2137,FALSE,FALSE,NA,NA,2016,2
".@MrDannyGlover has used his celebrity status in the fight for racial economic justice and I thank him for that. 
https://t.co/La0Xim8H7B",FALSE,1370,NA,2016-02-23 17:08:03,FALSE,NA,"702178117356429313",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",543,FALSE,FALSE,NA,NA,2016,2
"""I will certainly look into it."" - @HillaryClinton 

Voters deserve to know what she told Wall Street and Big Pharma behind closed doors.",FALSE,3896,NA,2016-02-23 16:24:08,FALSE,NA,"702167064895557632",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1863,FALSE,FALSE,NA,NA,2016,2
"When you're sick, you shouldn't have to worry about finding the money to go to a doctor.",FALSE,4812,NA,2016-02-23 15:22:08,FALSE,NA,"702151461187096577",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",2215,FALSE,FALSE,NA,NA,2016,2
"If you want a candidate who is going to defeat Donald Trump, you’re looking at him. 
https://t.co/Zo0GTdE0MZ",FALSE,3951,NA,2016-02-23 14:09:03,FALSE,NA,"702133071605166080",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BernieSanders",1644,FALSE,FALSE,NA,NA,2016,2
